date,bike_count
2017-05-01,3003
2017-05-02,3581
2017-05-03,5398
2017-05-04,4050
2017-05-05,NA
2017-05-06,4773
2017-05-07,5334
2017-05-08,4652
2017-05-09,6101
2017-05-10,5966
2017-05-11,2364
2017-05-12,2832
2017-05-13,3035
2017-05-14,2122
2017-05-15,2509
2017-05-16,2113
2017-05-17,4194
2017-05-18,4681
2017-05-19,6075
2017-05-20,6256
2017-05-21,6656
2017-05-22,5633
2017-05-23,5927
2017-05-24,4451
2017-05-25,5335
2017-05-26,5383
2017-05-27,5428
2017-05-28,5981
2017-05-29,5330
2017-05-30,2794
2017-05-31,4517
