id,day,plant,machine_id,shift,dt,description,category,reason_code
346919,2020-12-08,cooking,87,1,18,Amada Vipros 255,Turret Press,Set Up
346921,2020-12-08,cooking,87,1,7,Amada Vipros 255,Turret Press,Set Up
346923,2020-12-08,cooking,87,1,9,Amada Vipros 255,Turret Press,Set Up
346925,2020-12-08,cooking,87,1,10,Amada Vipros 255,Turret Press,Set Up
346926,2020-12-08,cooking,87,1,15,Amada Vipros 255,Turret Press,Operator PM
346927,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346928,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346930,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346931,2020-12-08,cooking,121,1,45,Amada Vipros 255,Turret Press,Maintenance
346932,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346933,2020-12-08,cooking,121,1,15,Amada Vipros 255,Turret Press,Maintenance
346935,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346937,2020-12-08,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
346938,2020-12-08,cooking,121,1,10,Amada Vipros 255,Turret Press,Operator PM
346939,2020-12-08,cooking,9,1,11,Amada Vipros 255,Turret Press,Set Up
346940,2020-12-08,cooking,9,1,5,Amada Vipros 255,Turret Press,Set Up
346941,2020-12-08,cooking,9,1,9,Amada Vipros 255,Turret Press,Tool Change(special)
346942,2020-12-08,cooking,9,1,40,Amada Vipros 255,Turret Press,Maintenance
346943,2020-12-08,cooking,9,1,4,Amada Vipros 255,Turret Press,Set Up
346944,2020-12-08,cooking,9,1,12,Amada Vipros 255,Turret Press,Set Up
346945,2020-12-08,cooking,9,1,15,Amada Vipros 255,Turret Press,Tool Change(dull)
346946,2020-12-08,cooking,9,1,20,Amada Vipros 255,Turret Press,Set Up
346947,2020-12-08,cooking,9,1,15,Amada Vipros 255,Turret Press,Operator PM
346948,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
346949,2020-12-08,cooking,146,1,7,Amada Vipros 255,Turret Press,Set Up
346950,2020-12-08,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
346951,2020-12-08,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
346952,2020-12-08,cooking,146,1,8,Amada Vipros 255,Turret Press,Set Up
346953,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
346954,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
346955,2020-12-08,cooking,146,1,10,Amada Vipros 255,Turret Press,Set Up
346956,2020-12-08,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
346957,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
346961,2020-12-08,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
346962,2020-12-08,cooking,146,1,7,Amada Vipros 255,Turret Press,Set Up
346963,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
346964,2020-12-08,cooking,146,1,10,Amada Vipros 255,Turret Press,Set Up
346965,2020-12-08,cooking,146,1,4,Amada Vipros 255,Turret Press,Set Up
346966,2020-12-08,cooking,146,1,5,Amada Vipros 255,Turret Press,Operator PM
346967,2020-12-08,cooking,5,1,10,Amada Vipros 358 King,Turret Press,Set Up
346968,2020-12-08,cooking,5,1,5,Amada Vipros 358 King,Turret Press,Set Up
346969,2020-12-08,cooking,5,1,20,Amada Vipros 358 King,Turret Press,Set Up
