id,day,plant,machine_id,shift,dt,description,category,reason_code
401751,2021-04-26,refrigeration,101,1,480,LORS SPOTWELDER,Spotwelder,No Work
401752,2021-04-26,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
401754,2021-04-26,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
401755,2021-04-26,refrigeration,96,1,40,LORS SPOTWELDER,Spotwelder,Set Up
401756,2021-04-26,refrigeration,96,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
401757,2021-04-26,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,No Work
401759,2021-04-26,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
401760,2021-04-26,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
401761,2021-04-26,refrigeration,98,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
401762,2021-04-26,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,No Work
401763,2021-04-26,refrigeration,70,1,480,H&H J-FLANGE FORMER,Custom,No Work
401764,2021-04-26,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
401765,2021-04-26,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
401766,2021-04-26,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,Set Up
401767,2021-04-26,refrigeration,61,1,7,AMADA VIPROS 255,Turret Press,No Operator
401768,2021-04-26,refrigeration,61,1,12,AMADA VIPROS 255,Turret Press,Set Up
401769,2021-04-26,refrigeration,61,1,7,AMADA VIPROS 255,Turret Press,No Operator
401770,2021-04-26,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
401771,2021-04-26,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,Set Up
401772,2021-04-26,refrigeration,61,1,8,AMADA VIPROS 255,Turret Press,No Operator
401773,2021-04-26,refrigeration,61,1,2,AMADA VIPROS 255,Turret Press,Operator PM
401775,2021-04-26,refrigeration,58,1,6,AMADA VIPROS 358 KING,Turret Press,Set Up
401776,2021-04-26,refrigeration,58,1,5,AMADA VIPROS 358 KING,Turret Press,Set Up
401777,2021-04-26,refrigeration,58,1,1,AMADA VIPROS 358 KING,Turret Press,Operator PM
401779,2021-04-26,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
401780,2021-04-26,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
401781,2021-04-26,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
401783,2021-04-26,refrigeration,56,1,15,AMADA RG-50 PRESS BRAKE,Press Brake,Operator PM
401785,2021-04-26,refrigeration,54,1,25,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
401787,2021-04-26,refrigeration,54,1,10,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
401788,2021-04-26,refrigeration,54,1,20,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
401790,2021-04-26,refrigeration,54,1,15,AMADA HFE 8025S PRESS BRAKE,Press Brake,Operator PM
401793,2021-04-26,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
401794,2021-04-26,refrigeration,52,1,10,CINCINNATI PRESS BRAKE,Press Brake,Set Up
401796,2021-04-26,refrigeration,52,1,210,CINCINNATI PRESS BRAKE,Press Brake,Move to another machine
401797,2021-04-26,refrigeration,52,1,10,CINCINNATI PRESS BRAKE,Press Brake,Set Up
401799,2021-04-26,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
401801,2021-04-26,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Operator PM
401803,2021-04-26,refrigeration,42,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401804,2021-04-26,refrigeration,42,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
401807,2021-04-26,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401808,2021-04-26,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401809,2021-04-26,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401810,2021-04-26,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401811,2021-04-26,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401812,2021-04-26,refrigeration,39,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
401813,2021-04-26,refrigeration,7,1,120,AMADA VIPROS 358 KING,Turret Press,Maintenance
401814,2021-04-26,refrigeration,7,1,100,AMADA VIPROS 358 KING,Turret Press,Program Error
401815,2021-04-26,refrigeration,7,1,5,AMADA VIPROS 358 KING,Turret Press,Set Up
401816,2021-04-26,refrigeration,7,1,30,AMADA VIPROS 358 KING,Turret Press,Operator PM
401817,2021-04-26,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
401818,2021-04-26,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Load Material
401820,2021-04-26,refrigeration,3,1,480,TOMAN TOOL HEAT STAKER,Custom,No Work
401821,2021-04-26,refrigeration,3,1,20,TOMAN TOOL HEAT STAKER,Custom,Operator PM
401822,2021-04-26,refrigeration,158,1,480,AMADA VIPROS 357 QUEEN,Turret Press,No Operator
401823,2021-04-26,refrigeration,158,1,30,AMADA VIPROS 357 QUEEN,Turret Press,Operator PM
401824,2021-04-26,refrigeration,136,1,17,AMADA VIPROS 255,Turret Press,No Operator
401825,2021-04-26,refrigeration,136,1,6,AMADA VIPROS 255,Turret Press,Set Up
401826,2021-04-26,refrigeration,136,1,4,AMADA VIPROS 255,Turret Press,Set Up
401827,2021-04-26,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
401828,2021-04-26,refrigeration,136,1,15,AMADA VIPROS 255,Turret Press,No Operator
401829,2021-04-26,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Tool Change(dull)
401830,2021-04-26,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Set Up
401831,2021-04-26,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Tool Change(dull)
401832,2021-04-26,refrigeration,136,1,6,AMADA VIPROS 255,Turret Press,Set Up
401833,2021-04-26,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
401834,2021-04-26,refrigeration,136,1,9,AMADA VIPROS 255,Turret Press,Set Up
401835,2021-04-26,refrigeration,136,1,18,AMADA VIPROS 255,Turret Press,Operator PM
401836,2021-04-26,refrigeration,104,1,24,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
401837,2021-04-26,refrigeration,104,1,21,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
401838,2021-04-26,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
401839,2021-04-26,refrigeration,104,1,19,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
401840,2021-04-26,refrigeration,104,1,40,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
401841,2021-04-26,refrigeration,104,1,15,AMADA HFT 8025S PRESS BRAKE,Press Brake,Operator PM
401842,2021-04-26,refrigeration,79,1,5,FELDMANN  FOUR POST FORMER,Custom,Set Up
401844,2021-04-26,refrigeration,79,1,15,FELDMANN  FOUR POST FORMER,Custom,Operator PM
401845,2021-04-26,refrigeration,67,1,480,H&H J-FLANGE FORMER,Custom,No Work
401846,2021-04-26,refrigeration,73,1,5,FELDMANN DUAL ARM FORMER,Custom,Set Up
401848,2021-04-26,refrigeration,73,1,10,FELDMANN DUAL ARM FORMER,Custom,Operator PM
401849,2021-04-26,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Set Up
401851,2021-04-26,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Operator PM
401852,2021-04-26,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Set Up
401854,2021-04-26,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
401855,2021-04-26,refrigeration,44,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
401856,2021-04-26,refrigeration,44,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
401858,2021-04-26,refrigeration,94,1,5,LORS SPOTWELDER,Spotwelder,Set Up
401859,2021-04-26,refrigeration,94,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
401861,2021-04-26,refrigeration,116,1,130,CANNON DOOR FORM,Custom,No Work
401865,2021-04-26,refrigeration,106,1,10,CANNON CABINET FOAMER,Custom,Operator PM
401866,2021-04-26,refrigeration,109,1,52,Charge Station 7 S,Custom,Set Up
401868,2021-04-26,refrigeration,109,1,32,Charge Station 7 S,Custom,Maintenance
401869,2021-04-26,refrigeration,109,1,35,Charge Station 7 S,Custom,Maintenance
401870,2021-04-26,refrigeration,109,1,35,Charge Station 7 S,Custom,Maintenance
401871,2021-04-26,refrigeration,109,1,28,Charge Station 7 S,Custom,Maintenance
401872,2021-04-26,refrigeration,109,1,15,Charge Station 7 S,Custom,Operator PM
401874,2021-04-26,refrigeration,111,1,52,Charge Station  5 S,Custom,Set Up
401875,2021-04-26,refrigeration,111,1,32,Charge Station  5 S,Custom,Maintenance
