id,day,plant,machine_id,shift,dt,description,category,reason_code
422725,2021-06-28,ventilation,4,1,120,SHEAR,Shear,No Operator
422726,2021-06-28,ventilation,4,1,15,SHEAR,Shear,Set Up
422727,2021-06-28,ventilation,4,1,300,SHEAR,Shear,No Operator
422728,2021-06-28,ventilation,4,1,15,SHEAR,Shear,Operator PM
422729,2021-06-28,ventilation,8,1,120,255,Turret Press,No Operator
422730,2021-06-28,ventilation,8,1,15,255,Turret Press,Operator PM
422731,2021-06-28,ventilation,24,1,10,357 QUEEN,Turret Press,Set Up
422732,2021-06-28,ventilation,24,1,10,357 QUEEN,Turret Press,Set Up
422733,2021-06-28,ventilation,24,1,5,357 QUEEN,Turret Press,Set Up
422734,2021-06-28,ventilation,24,1,20,357 QUEEN,Turret Press,Tool Change(dull)
422735,2021-06-28,ventilation,24,1,10,357 QUEEN,Turret Press,Set Up
422736,2021-06-28,ventilation,24,1,20,357 QUEEN,Turret Press,Tool Change(dull)
422737,2021-06-28,ventilation,24,1,15,357 QUEEN,Turret Press,Operator PM
422738,2021-06-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
422739,2021-06-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
422740,2021-06-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Load Material
422741,2021-06-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
422742,2021-06-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
422743,2021-06-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Load Material
422744,2021-06-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
422745,2021-06-28,ventilation,35,1,15,PULSAR 2415 LASER,Laser,Operator PM
422746,2021-06-28,ventilation,40,1,600,357 QUEEN,Turret Press,No Operator
422747,2021-06-28,ventilation,45,1,20,150 TON PRESS,Stamping Press,Operator PM
422748,2021-06-28,ventilation,45,1,10,150 TON PRESS,Stamping Press,No Operator
422749,2021-06-28,ventilation,57,1,15,KUHLMEYER SANDER,Sander,Operator PM
422750,2021-06-28,ventilation,59,1,15,KUHLMEYER SANDER,Sander,Operator PM
422751,2021-06-28,ventilation,60,1,10,LORS SPOTWELDER,Spotwelder,Set Up
422752,2021-06-28,ventilation,60,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
422753,2021-06-28,ventilation,62,1,15,G & P SANDER,Sander,Operator PM
422754,2021-06-28,ventilation,68,1,600,FBD8025E PRESS BRAKE,Press Brake,No Operator
422755,2021-06-28,ventilation,68,1,15,FBD8025E PRESS BRAKE,Press Brake,Operator PM
422756,2021-06-28,ventilation,71,1,8,FBD8025E PRESS BRAKE,Press Brake,Set Up
422757,2021-06-28,ventilation,71,1,10,FBD8025E PRESS BRAKE,Press Brake,Operator PM
422758,2021-06-28,ventilation,74,1,20,HFB8025 PRESS BRAKE,Press Brake,Set Up
422759,2021-06-28,ventilation,74,1,60,HFB8025 PRESS BRAKE,Press Brake,No Operator
422760,2021-06-28,ventilation,74,1,10,HFB8025 PRESS BRAKE,Press Brake,Set Up
422761,2021-06-28,ventilation,74,1,15,HFB8025 PRESS BRAKE,Press Brake,Operator PM
422762,2021-06-28,ventilation,77,1,8,FBD8025NT PRESS BRAKE,Press Brake,Set Up
422765,2021-06-28,ventilation,77,1,8,FBD8025NT PRESS BRAKE,Press Brake,Set Up
422766,2021-06-28,ventilation,77,1,6,FBD8025NT PRESS BRAKE,Press Brake,Set Up
422767,2021-06-28,ventilation,83,1,120,RAS FLEXIBEND,Custom,No Operator
422768,2021-06-28,ventilation,83,1,10,RAS FLEXIBEND,Custom,Set Up
422769,2021-06-28,ventilation,83,1,15,RAS FLEXIBEND,Custom,Set Up
422770,2021-06-28,ventilation,83,1,15,RAS FLEXIBEND,Custom,Operator PM
422771,2021-06-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
422772,2021-06-28,ventilation,102,1,15,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
422773,2021-06-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Tool Change(special)
422774,2021-06-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
422775,2021-06-28,ventilation,102,1,15,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
422776,2021-06-28,ventilation,102,1,15,APELIO PUNCH\LASER COMBO,Turret Press,Operator PM
422777,2021-06-28,ventilation,107,1,56,HDS 8025NT,Press Brake,Set Up
422778,2021-06-28,ventilation,107,1,5,HDS 8025NT,Press Brake,Operator PM
422779,2021-06-28,ventilation,112,1,20,Tool Crib,Tool sharpener,Operator PM
422780,2021-06-28,ventilation,113,1,20,Tool Crib,Tool sharpener,Operator PM
422781,2021-06-28,ventilation,115,1,15,Welder,Welder,Set Up
422782,2021-06-28,ventilation,115,1,15,Welder,Welder,Operator PM
422783,2021-06-28,ventilation,123,1,30,MILLER WELDER,Welder,Operator PM
422784,2021-06-28,ventilation,126,1,30,MILLER WELDER,Welder,Operator PM
