platform,wiki_page,type,firm,release_year,units_sold_millions,in_production,original_price,inflation_factor,inflation_adjusted_price
PlayStation 2,PlayStation_2,Home,Sony,2000,160,FALSE,300,1.881937204,564.5811611
Nintendo DS,Nintendo_DS,Handheld,Nintendo,2004,154.02,FALSE,200,1.715286177,343.0572354
Nintendo Switch,Nintendo_Switch,Hybrid,Nintendo,2017,150.86,TRUE,300,1.308154786,392.4464357
Game Boy & Game Boy Color,Game_Boy_Color,Handheld,Nintendo,1989,118.69,FALSE,110,2.623212221,288.5533443
PlayStation 4,PlayStation_4,Home,Sony,2013,117.2,TRUE,400,1.379498871,551.7995484
PlayStation,PlayStation_(console),Home,Sony,1994,102.49,FALSE,300,2.172852257,651.8556772
Wii,Wii,Home,Nintendo,2006,101.63,FALSE,250,1.60197176,400.49294
PlayStation 3,PlayStation_3,Home,Sony,2006,87.4,FALSE,500,1.60197176,800.98588
Xbox 360,Xbox_360,Home,Microsoft,2005,84,FALSE,400,1.665815417,666.3261668
Game Boy Advance,Game_Boy_Advance,Handheld,Nintendo,2001,81.51,FALSE,100,1.814226156,181.4226156
PlayStation Portable,PlayStation_Portable,Handheld,Sony,2004,80,FALSE,250,1.715286177,428.8215443
Nintendo 3DS,Nintendo_3DS,Handheld,Nintendo,2011,75.94,FALSE,250,1.442496924,360.6242309
PlayStation 5,PlayStation_5,Home,Sony,2020,74.9,TRUE,500,1.231421361,615.7106807
Family Computer/Nintendo Entertainment System,Nintendo_Entertainment_System,Home,Nintendo,1983,61.91,FALSE,200,3.248169734,649.6339468
Xbox One,Xbox_One,Home,Microsoft,2013,58,FALSE,500,1.379498871,689.7494355
Super Famicom/Super Nintendo Entertainment System,Super_Nintendo_Entertainment_System,Home,Nintendo,1990,49.1,FALSE,200,2.493492936,498.6985871
Nintendo 64,Nintendo_64,Home,Nintendo,1996,32.93,FALSE,200,2.057454663,411.4909326
Mega Drive/Genesis,Sega_Genesis,Home,Sega,1988,30.75,FALSE,190,2.745643907,521.6723423
Atari 2600,Atari_2600,Home,Atari,1977,30,FALSE,200,5.430273504,1086.054701
Xbox Series X/S,Xbox_Series_X_and_Series_S,Home,Microsoft,2020,28.3,TRUE,500,1.231421361,615.7106807
Xbox,Xbox_(console),Home,Microsoft,2001,24,FALSE,300,1.814226156,544.2678469
Nintendo GameCube,GameCube,Home,Nintendo,2001,21.74,FALSE,200,1.814226156,362.8452313
Wii U,Wii_U,Home,Nintendo,2012,13.56,FALSE,350,1.401500011,490.5250039
PlayStation Vita,PlayStation_Vita,Handheld,Sony,2011,15,FALSE,250,1.442496924,360.6242309
Master System,Master_System,Home,Sega,1986,13,FALSE,200,2.898458029,579.6916058
Sega Saturn,Sega_Saturn,Home,Sega,1994,9.26,FALSE,400,2.172852257,869.1409029
Dreamcast,Dreamcast,Home,Sega,1998,9.13,FALSE,200,1.965785891,393.1571782
Intellivision,Intellivision,Home,Mattel,1980,3,FALSE,300,4.083174807,1224.952442
N-Gage,N-Gage,Handheld,Nokia,2003,3,FALSE,300,1.748326912,524.4980737
ColecoVision,ColecoVision,Home,Coleco,1982,2,FALSE,175,3.368727466,589.5273065
Magnavox Odyssey,Magnavox_Odyssey,Home,Magnavox/Philips,1978,2,FALSE,100,5.082736,508.2736
Atari 7800,Atari_7800,Home,Atari,1986,1,FALSE,150,2.898458029,434.7687044
Atari 5200,Atari_5200,Home,Atari,1982,1,FALSE,270,3.368727466,909.5564157
